Compound Name,Mechanism of Action
CAPOX or capecitabine,Drug not found in PubChem
CAPOX+ Camrelizumab+ Bevacizumab,Drug not found in PubChem
CAPOX regimen,Drug not found in PubChem
CAR T cells,Drug not found in PubChem
CAPOX+ Camrelizumab+ Cetuximab,Drug not found in PubChem
CAR T cells chimeric antigen receptor cells,Drug not found in PubChem
CAR T cells chimeric antigenreceptor cells,Drug not found in PubChem
CAR-T Therapy,Drug not found in PubChem
CAR-T,Drug not found in PubChem
CAR-T cells Infusion chimeric antigen receptor T cells,Drug not found in PubChem
CAR-T cell,Drug not found in PubChem
CAR-T cells（ chimeric antigen receptor T cells）,Drug not found in PubChem
CAR-T cells chimenric antigen receptor T cells,Drug not found in PubChem
CAR19-BCMA dual-target CAR-T,Drug not found in PubChem
CART-EGFR-IL13Ra2 cells,Drug not found in PubChem
CBD oil,"The exact mechanism of action of CBD and THC is not currently fully understood. However, it is known that CBD acts on cannabinoid (CB) receptors of the endocannabinoid system, which are found in numerous areas of the body, including the peripheral and central nervous systems, including the brain. The endocannabinoid system regulates many physiological responses of the body including pain, memory, appetite, and mood. More specifically, CB1 receptors can be found within the pain pathways of the brain and spinal cord where they may affect CBD-induced analgesia and anxiolysis, and CB2 receptors have an effect on immune cells, where they may affect CBD-induced anti-inflammatory processes.   CBD has been shown to act as a negative allosteric modulator of the cannabinoid CB1 receptor, the most abundant G-Protein Coupled Receptor (GPCR) in the body. Allosteric regulation of a receptor is achieved through the modulation of the activity of a receptor on a functionally distinct site from the agonist or antagonist binding site. The negative allosteric modulatory effects of CBD are therapeutically important as direct agonists are limited by their psychomimetic effects while direct antagonists are limited by their depressant effects."
CBD,"The exact mechanism of action of CBD and THC is not currently fully understood. However, it is known that CBD acts on cannabinoid (CB) receptors of the endocannabinoid system, which are found in numerous areas of the body, including the peripheral and central nervous systems, including the brain. The endocannabinoid system regulates many physiological responses of the body including pain, memory, appetite, and mood. More specifically, CB1 receptors can be found within the pain pathways of the brain and spinal cord where they may affect CBD-induced analgesia and anxiolysis, and CB2 receptors have an effect on immune cells, where they may affect CBD-induced anti-inflammatory processes.   CBD has been shown to act as a negative allosteric modulator of the cannabinoid CB1 receptor, the most abundant G-Protein Coupled Receptor (GPCR) in the body. Allosteric regulation of a receptor is achieved through the modulation of the activity of a receptor on a functionally distinct site from the agonist or antagonist binding site. The negative allosteric modulatory effects of CBD are therapeutically important as direct agonists are limited by their psychomimetic effects while direct antagonists are limited by their depressant effects."
CC-38,Drug not found in PubChem
CBX-250,Drug not found in PubChem
CD-001,Drug not found in PubChem
CD-GA-102,Drug not found in PubChem
CC-99282,Mechanism of Action section not found
CD19 CAR T cells,Drug not found in PubChem
CD19 CAR-T cells,Drug not found in PubChem
CD20 Antibody,Drug not found in PubChem
CD22/CD19 CAR-T cell immunotherapy,Drug not found in PubChem
CD30 target immunotherapy,Drug not found in PubChem
CD38-SADA:177Lu-DOTA Complex,Drug not found in PubChem
CD5 CAR-T cells infusion,Drug not found in PubChem
CD7 CAR-T cells infusion,Drug not found in PubChem
CD7 CAR-T combined with autologous hematopoietic stem cell transplantation,Drug not found in PubChem
CD84-CART,Drug not found in PubChem
CDDP,"Alkylating agents work by three different mechanisms: 1) attachment of alkyl groups to DNA bases, resulting in the DNA being fragmented by repair enzymes in their attempts to replace the alkylated bases, preventing DNA synthesis and RNA transcription from the affected DNA, 2) DNA damage via the formation of cross-links (bonds between atoms in the DNA) which prevents DNA from being separated for synthesis or transcription, and 3) the induction of mispairing of the nucleotides leading to mutations."
CDK4 Inhibitor,Mechanism of Action section not found
CDK4/6 Inhibitor,CID not found
CDK4/6 inhibitor,CID not found
CDK4/6i,CID not found
CDK4/6i plus ET,CID not found
CER-1236,Drug not found in PubChem
CG009301 for,Drug not found in PubChem
CGC738,Drug not found in PubChem
CGT4255,Drug not found in PubChem
CGT4859,Drug not found in PubChem
CHO-A04,Drug not found in PubChem
CHS-114,Drug not found in PubChem
CHOP,Mechanism of Action section not found
CHT101,Drug not found in PubChem
CHiR-DEL,Drug not found in PubChem
CISGEM + Rilvegostomig,Drug not found in PubChem
CIV chemotherapy,Drug not found in PubChem
CKD-512,Drug not found in PubChem
CLAD,Drug not found in PubChem
CLL1 and CD38 Dual-Target CAR-T Cell,Drug not found in PubChem
CLR 125,Drug not found in PubChem
CLSP-1025,Drug not found in PubChem
CN-Erbitux®,Drug not found in PubChem
CM336,Drug not found in PubChem
CNCT-19,Drug not found in PubChem
COM503,Drug not found in PubChem
COM701,Drug not found in PubChem
COMB,Drug not found in PubChem
CP,Drug not found in PubChem
COX-2 Inhibitor,Drug not found in PubChem
CP-383,Drug not found in PubChem
CPT-11,Mechanism of Action section not found
CPX-351,Mechanism of Action section not found
CRGD-ZW800-1,Drug not found in PubChem
CRN09682,Drug not found in PubChem
CS2009,Drug not found in PubChem
CS231295,Drug not found in PubChem
CSCJC3456,Drug not found in PubChem
CT-01,Mechanism of Action section not found
CT-707,Mechanism of Action section not found
CT-95,Drug not found in PubChem
CT-P51,Drug not found in PubChem
CT041 autologous CAR T-cell,Drug not found in PubChem
CT0991 CAR-T cells infusicn,Drug not found in PubChem
CTD402 CAR T Cell,Drug not found in PubChem
CTX,Drug not found in PubChem
CTX-009,Drug not found in PubChem
CVA,Drug not found in PubChem
CVL006 combined with pemetrexed and carboplatin,Drug not found in PubChem
CVL006 in combination with DS-8201,Drug not found in PubChem
CVL006 in combination with Enfortumab Vedotin,Drug not found in PubChem
CXCR4 CCR9 CAR-T,Drug not found in PubChem
CVL006 in combination with SKB264,Drug not found in PubChem
Ca-EDTA,Drug not found in PubChem
CYTALUX™ (pafolacianine),Drug not found in PubChem
Cabazitaxel and carboplatin,Drug not found in PubChem
Cabazitaxel,"Microtubules are cytoskeletal polymers that regulate cell shape, vesicle transport, cell signalling, and cell division. They are made up of alpha-tubulin and beta-tubulin heterodimers. Microtubules extend toward the mitotic spindle during mitosis to allow the separation and distribution of chromosomes during cell division. Cabazitaxel binds to the N-terminal amino acids of the beta-tubulin subunit and promotes microtubule polymerization while simultaneously inhibiting disassembly: this results in the stabilization of microtubules, preventing microtubule cell division. Cabazitaxel ultimately blocks mitotic and interphase cellular functions and tumour proliferation."
Cabozantinib,"Cabozantinib inhibits specific receptor tyrosine kinases such as VEGFR-1, -2 and -3, KIT, TRKB, FLT-3, AXL, RET, MET, and TIE-2."
Cadonilimab,Drug not found in PubChem
Cadonilimab combined with cisplatin,Drug not found in PubChem
Cabozantinib S-malate,Mechanism of Action section not found
Cafizomide,Drug not found in PubChem
Calaspargase,Drug not found in PubChem
Calaspargase pegol-mknl,Drug not found in PubChem
Calaspargase Pegol,Drug not found in PubChem
Calcium Folinate,Mechanism of Action section not found
Calcium folinate,Mechanism of Action section not found
Calderasib,Mechanism of Action section not found
Camizestrant,Mechanism of Action section not found
Camrelizumab,Drug not found in PubChem
Camrelizumab + Nab-paclitaxel + Cisplatin,Drug not found in PubChem
Camrelizumab and apatinib,Drug not found in PubChem
Camrelizumab Combined With Pirfenidone and Chemotherapy,Drug not found in PubChem
Camrelizumab+Apatinib+Eribulin,Drug not found in PubChem
Camrelizumab combined with chemotherapy,Drug not found in PubChem
Cancer - Physician's Choice,Drug not found in PubChem
Canagliflozin,"The sodium-glucose co-transporter2 (SGLT2), is found in the proximal tubules of the kidney, and reabsorbs filtered glucose from the renal tubular lumen. Canagliflozin inhibits the SGLT2 co-transporter. This inhibition leads to lower reabsorption of filtered glucose into the body and decreases the renal threshold for glucose (RTG), leading to increased glucose excretion in the urine.

Sodium-glucose co-transporter 2 (SGLT2), expressed in the proximal renal tubules, is responsible for the majority of the reabsorption of filtered glucose from the tubular lumen. Canagliflozin is an inhibitor of SGLT2. By inhibiting SGLT2, canagliflozin reduces reabsorption of filtered glucose and lowers the renal threshold for glucose (RTG), and thereby increases urinary glucose excretion (UGE)."
